2025-10-02 16:30:33.955 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-02 16:30:33.959 [main] INFO  MainKt - ID do Cliente: CLIENTE_TESTE_01
2025-10-02 16:30:33.960 [main] INFO  MainKt - Registro: Verificando se o cliente 'CLIENTE_TESTE_01' já está cadastrado...
2025-10-02 16:30:35.203 [main] INFO  MainKt - Registro: Cliente já está cadastrado. Nenhuma ação necessária.
2025-10-02 16:30:35.225 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-02 16:30:35.226 [main] INFO  c.waldirbaia.agent.RealtimeManager - Conectando ao Supabase Realtime...
2025-10-02 16:30:35.250 [main] INFO  com.waldirbaia.models.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-02 16:30:35.253 [main] INFO  com.waldirbaia.models.BackupMonitor - Monitor: Encontrados 5 arquivos recentes. Verificando quais são novos...
2025-10-02 16:30:35.504 [main] INFO  com.waldirbaia.models.BackupMonitor - Monitor: Todos os arquivos já estão registrados no banco. Nenhum novo arquivo encontrado.
2025-10-02 16:30:35.567 [main] INFO  c.waldirbaia.agent.RealtimeManager - Inscrito com sucesso no canal de agendamentos para o cliente: CLIENTE_TESTE_01
2025-10-02 17:19:12.734 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-02 17:19:12.739 [main] INFO  MainKt - ID do Cliente: CLIENTE_TESTE_01
2025-10-02 17:19:12.741 [main] INFO  MainKt - Registro: Verificando se o cliente 'CLIENTE_TESTE_01' já está cadastrado...
2025-10-02 17:19:14.072 [main] INFO  MainKt - Registro: Cliente já está cadastrado. Nenhuma ação necessária.
2025-10-02 17:19:14.109 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-02 17:19:14.111 [main] INFO  c.waldirbaia.agent.RealtimeManager - Conectando ao Supabase Realtime...
2025-10-02 17:19:14.136 [main] INFO  com.waldirbaia.models.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-02 17:19:14.139 [main] INFO  com.waldirbaia.models.BackupMonitor - Monitor: Encontrados 5 arquivos recentes. Verificando quais são novos...
2025-10-02 17:19:14.362 [main] INFO  com.waldirbaia.models.BackupMonitor - Monitor: Todos os arquivos já estão registrados no banco. Nenhum novo arquivo encontrado.
2025-10-02 17:19:14.434 [main] INFO  c.waldirbaia.agent.RealtimeManager - Inscrito com sucesso no canal de agendamentos para o cliente: CLIENTE_TESTE_01
