2025-10-24 15:24:38.721 [main] INFO  MainKt - Iniciando Agente de Backup (Modo Supabase Realtime)...
2025-10-24 15:24:38.740 [main] INFO  MainKt - ID do Cliente: 12922085627
2025-10-24 15:24:38.742 [main] INFO  MainKt - Registro: Verificando se o cliente '12922085627' já está cadastrado...
2025-10-24 15:24:40.093 [main] INFO  MainKt - Registro: Cliente já está cadastrado. Nenhuma ação necessária.
2025-10-24 15:24:40.139 [main] INFO  MainKt - Agente iniciado. Ouvindo por agendamentos e monitorando backups.
2025-10-24 15:24:40.140 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: execucoes_realtime...
2025-10-24 15:24:40.168 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Verificando pasta de backups em 'C:/Waldir/Backups'...
2025-10-24 15:24:40.169 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Encontrados 1 arquivos recentes. Verificando quais são novos...
2025-10-24 15:24:40.360 [main] INFO  com.waldirbaia.agent.BackupMonitor - Monitor: Todos os arquivos já estão registrados. Nenhum novo arquivo.
2025-10-24 15:24:40.475 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'execucoes_realtime' ativo
2025-10-24 15:24:40.476 [main] INFO  c.waldirbaia.agent.RealtimeManager - 🔌 Conectando: agendamentos...
2025-10-24 15:24:40.484 [main] INFO  c.waldirbaia.agent.RealtimeManager - ✅ Canal 'agendamentos' ativo (cron interno)
